241,arist_synchrom.scl,arist synchrom,7,"""Aristoxenos's Chromatic Syntonon, Dorian Mode"""
242,arist_syndiat.scl,arist syndiat,7,"""Aristoxenos's Diatonon Syntonon, Dorian Mode"""
243,arist_unchrom.scl,arist unchrom,7,"""Aristoxenos's Unnamed Chromatic, Dorian Mode, 4 + 8 + 18 parts"""
244,arist_unchrom2.scl,arist unchrom2,7,"""Dorian Mode, a 1:2 Chromatic, 8 + 4 + 18 parts"""
245,arist_unchrom3.scl,arist unchrom3,7,"""Dorian Mode, a 1:2 Chromatic, 18 + 4 + 8 parts"""
246,arist_unchrom4.scl,arist unchrom4,7,"""Dorian Mode, a 1:2 Chromatic, 18 + 8 + 4 parts"""
247,arnautoff_21.scl,arnautoff 21,21,"""Philip Arnautoff, transposed Archytas enharmonic (2005), 1/1 vol 12/1"""
248,aron-neidhardt.scl,aron-neidhardt,12,"""Aron-Neidhardt equal beating well temperament"""
249,artusi.scl,artusi,12,"""Clavichord tuning of Giovanni Maria Artusi (1603). 1/4-comma with mean semitones"""
250,artusi2.scl,artusi2,12,"""Artusi's tuning no. 2. 1/6-comma meantone with mean semitones"""
251,artusi3.scl,artusi3,12,"""Artusi's tuning no. 3"""
252,art_nam.scl,art nam,9,"""Artificial Nam System"""
253,athan_chrom.scl,athan chrom,7,"""Athanasopoulos's Byzantine Liturgical mode Chromatic"""
254,atomschis.scl,atomschis,12,"""Atom Schisma Scale"""
255,augdommean.scl,augdommean,12,"""August-dominant-meantone Fokker block"""
256,augment15br1.scl,augment15br1,15,"""Augmented[15] with a brat of 1"""
257,augteta.scl,augteta,8,"""Linear Division of the 11/8, duplicated on the 16/11"""
258,AUGTETA2.scl,AUGTETA2,8,"""Linear Division of the 7/5, duplicated on the 10/7"""
259,augtetb.scl,augtetb,8,"""Harmonic mean division of 11/8"""
260,augtetc.scl,augtetc,8,"""11/10 C.I."""
261,augtetd.scl,augtetd,8,"""11/9 C.I."""
262,augtete.scl,augtete,8,"""5/4 C.I."""
263,augtetf.scl,augtetf,8,"""5/4 C.I. again"""
264,augtetg.scl,augtetg,8,"""9/8 C.I."""
265,augteth.scl,augteth,8,"""9/8 C.I. A gapped version of this scale is called AugTetI"""
266,augtetj.scl,augtetj,6,"""9/8 C.I. comprised of 11:10:9:8 subharmonic series on 1 and 8:9:10:11 on 16/11"""
267,augtetk.scl,augtetk,6,"""9/8 C.I. This is the converse form of AugTetJ"""
268,augtetl.scl,augtetl,6,"""9/8 C.I. This is the harmonic form of AugTetI"""
269,avg_bac.scl,avg bac,7,"""Average Bac System"""
270,avicenna.scl,avicenna,7,"""Soft diatonic of Avicenna (Ibn Sina)"""
271,avicenna_17.scl,avicenna 17,17,"""Tuning by Avicenna (Ibn Sina), Ahmed Mahmud Hifni, Cairo, 1977"""
272,avicenna_19.scl,avicenna 19,19,"""Arabic scale by Ibn Sina"""
273,AVICENNA_chrom.scl,AVICENNA chrom,7,"""Dorian mode a chromatic genus of Avicenna"""
274,avicenna_chrom2.scl,avicenna chrom2,7,"""Dorian Mode, a 1:2 Chromatic, 4 + 18 + 8 parts"""
275,AVICENNA_CHROM3.scl,AVICENNA CHROM3,7,"""Avicenna's Chromatic permuted"""
276,AVICENNA_diat.scl,AVICENNA diat,7,"""Dorian mode a soft diatonic genus of Avicenna"""
277,avicenna_diff.scl,avicenna diff,12,"""Difference tones of Avicenna's Soft diatonic reduced by 2/1"""
