123,315.64,6 / 5,5,Meantone,Superparticular,,"Just minor third,[3][4][5][10][15] minor third,[13]1/3-comma meantone minor third"
124,317.6,19683 / 16384,3,,,,Pythagorean augmented second[3][6]
125,320.14,77 / 64,11,,,,Seventy-seventh harmonic[5]
126,325,2 to the power of 13/48,0,,,48,13 steps in 48 equal temperament
127,336.13,17 / 14,17,,,,Superminor third[17]
128,337.15,243 / 200,5,,,,Acute minor third[3]
129,342.48,39 / 32,13,,,,Thirty-ninth harmonic[5]
130,342.86,2 to the power of 2/7,0,,,7,2 steps in 7 equal temperament
131,342.91,128 / 105,7,,,,"105th subharmonic,[5] septimal neutral third[6]"
132,347.41,11 / 9,11,,,,Undecimal neutral third[3][5]
133,350,2 to the power of 7/24,0,,,24, Equal-tempered neutral third
134,354.55,27 / 22,11,,,,Zalzal's wosta[6] 12:11 X 9:8[13]
135,359.47,16 / 13,13,,,,Tridecimal neutral third[3]
136,364.54,79 / 64,79,,,,Seventy-ninth harmonic[5]
137,364.81,100 / 81,5,,,,Grave major third[3]
138,375,2 to the power of 5/16,0,,,"16, 48",15 steps in 48 equal temperament
139,384.36,8192 / 6561,3,,,,"Pythagorean diminished fourth,[3][6]Pythagorean 'schismatic' third[5]"
140,386.31,5 / 4,5,Meantone,Superparticular,,"Just major third,[3][4][5][10][15] major third,[13]quarter-comma meantone major third"
141,397.1,161 / 128,23,,,, One-hundred-sixty-first harmonic
142,400,2 to the power of 4/12,0,Meantone,,"3, 12", Equal-tempered major third
143,402.47,323 / 256,19,,,, Three-hundred-twenty-third harmonic
144,407.82,81 / 64,3,,,,"Pythagorean major third,[3][5][6][13][15] ditone"
145,417.51,14 / 11,11,,,,Undecimal diminished fourth or major third[3]
146,425,2 to the power of 17/48,0,,,48,17 steps in 48 equal temperament
147,427.37,32 / 25,5,,,,"Just diminished fourth,[15] diminished fourth,[5][12] 25th subharmonic"
148,429.06,41 / 32,41,,,,Forty-first harmonic[5]
149,435.08,9 / 7,7,,,,"Septimal major third,[3][5] Bohlen-Pierce third,[3] Super major Third[13]"
150,444.77,128 / 99,11,,,,99th subharmonic[5][6]
151,450,2 to the power of 9/24,0,,,24,9 steps in 24 equal temperament
152,450.05,83 / 64,83,,,,Eighty-third harmonic[5]
153,454.21,13 / 10,13,,,, Tridecimal major third or diminished fourth
154,456.99,125 / 96,5,,,,"Just augmented third, augmented third[5]"
155,462.35,64 / 49,7,,,,49th subharmonic[5][6]
156,470.78,21 / 16,7,,,,"Twenty-first harmonic, narrow fourth,[3]septimal fourth,[5] wide augmented third,[citation needed] H7 on G"
157,475,2 to the power of 19/48,0,,,48,19 steps in 48 equal temperament
158,478.49,675 / 512,5,,,,Wide augmented third[3]
159,480,2 to the power of 2/5,0,,,5,2 steps in 5 equal temperament
160,491.27,85 / 64,17,,,,Eighty-fifth harmonic[5]
161,498.04,4 / 3,3,,Superparticular,,"Perfect fourth,[3][5][15] Pythagorean perfect fourth, Just perfect fourth or diatessaron[4]"
162,500,2 to the power of 5/12,0,Meantone,,12, Equal-tempered perfect fourth
163,501.42,171 / 128,19,,,, One-hundred-seventy-first harmonic
164,510.51,(3/ 2) to the power of 8/11,0,,,18.75, Beta scale perfect fourth
165,511.52,43 / 32,43,,,,Forty-third harmonic[5]
166,514.29,2 to the power of 3/7,0,,,7,3 steps in 7 equal temperament
167,519.55,27 / 20,5,,,,"5-limit wolf fourth, acute fourth,[3] imperfect fourth[15]"
168,521.51,177147 / 131072,3,,,,Pythagorean augmented third[3][6] (F+ (pitch))
169,525,2 to the power of 7/16,0,,,"16, 48",21 steps in 48 equal temperament
170,531.53,87 / 64,29,,,,Eighty-seventh harmonic[5]
171,536.95,15 / 11,11,,,,Undecimal augmented fourth[3]
172,550,2 to the power of 11/24,0,,,24,11 steps in 24 equal temperament
173,551.32,11 / 8,11,,,,"eleventh harmonic,[5] undecimal tritone,[5]lesser undecimal tritone, undecimal semi-augmented fourth[3]"
174,563.38,18 / 13,13,,,,Tridecimal augmented fourth[3]
175,568.72,25 / 18,5,,,,Just augmented fourth[3][5]
176,570.88,89 / 64,89,,,,Eighty-ninth harmonic[5]
177,575,2 to the power of 23/48,0,,,48,23 steps in 48 equal temperament
178,582.51,7 / 5,7,,,,"Lesser septimal tritone, septimal tritone[3][4][5]Huygens' tritone or Bohlen-Pierce fourth,[3]septimal fifth,[10] septimal diminished fifth[18]"
179,588.27,1024 / 729,3,,,,"Pythagorean diminished fifth,[3][6] low Pythagorean tritone[5]"
180,590.22,45 / 32,5,,,,"Just augmented fourth, just tritone,[4][10]tritone,[6] diatonic tritone,[3] 'augmented' or 'false' fourth,[15] high 5-limit tritone,[5] 1/6-comma meantone augmented fourth"
181,595.03,361 / 256,19,,,, Three-hundred-sixty-first harmonic
182,600,2 to the power of 6/12,0,Meantone,,"2, 12", Equal-tempered tritone
183,609.35,91 / 64,13,,,,Ninety-first harmonic[5]
184,609.78,64 / 45,5,,,,"Just tritone,[4] 2nd tritone,[6] 'false' fifth,[15]diminished fifth,[12] low 5-limit tritone,[5] 45th subharmonic"
185,611.73,729 / 512,3,,,,"Pythagorean tritone,[3][6] Pythagorean augmented fourth, high Pythagorean tritone[5]"
186,617.49,10 / 7,7,,,,"Greater septimal tritone, septimal tritone,[4][5]Euler's tritone[3]"
187,625,2 to the power of 25/48,0,,,48,25 steps in 48 equal temperament
188,628.27,23 / 16,23,,,,"Twenty-third harmonic,[5] classic diminished fifth[citation needed]"
189,631.28,36 / 25,5,,,,Just diminished fifth[5]
190,646.99,93 / 64,31,,,,Ninety-third harmonic[5]
191,648.68,16 / 11,11,,,,` undecimal semi-diminished fifth[3]
192,650,2 to the power of 13/24,0,,,24,13 steps in 24 equal temperament
193,665.51,47 / 32,47,,,,Forty-seventh harmonic[5]
194,675,2 to the power of 9/16,0,,,"16, 48",27 steps in 48 equal temperament
195,678.49,262144 / 177147,3,,,,Pythagorean diminished sixth[3][6]
196,680.45,40 / 27,5,,,,"5-limit wolf fifth,[5] or diminished sixth, grave fifth,[3][6][10] imperfect fifth,[15]"
197,683.83,95 / 64,19,,,,Ninety-fifth harmonic[5]
198,684.82,12167 / 8192,23,,,,12167th harmonic
199,685.71,(2 to the power of 4/7) / 1,0,,,,4 steps in 7 equal temperament
200,691.2,3/2÷(81/80)1/2,0,Meantone,,, Half-comma meantone perfect fifth
201,694.79,3/2÷(81/80)1/3,0,Meantone,,,1/3-comma meantone perfect fifth
202,695.81,3/2÷(81/80)2/7,0,Meantone,,,2/7-comma meantone perfect fifth
203,696.58,3/2÷(81/80)1/4,0,Meantone,,, Quarter-comma meantone perfect fifth
204,697.65,3/2÷(81/80)1/5,0,Meantone,,,1/5-comma meantone perfect fifth
205,698.37,3/2÷(81/80)1/6,0,Meantone,,,1/6-comma meantone perfect fifth
206,700,27/12,0,Meantone,,12, Equal-tempered perfect fifth
207,701.89,231/53,0,,,53,53-TET perfect fifth
208,701.96,3 / 2,3,,Superparticular,,"Perfect fifth,[3][5][15] Pythagorean perfect fifth, Just perfect fifth or diapente,[4] fifth,[13] Just fifth[10]"
209,702.44,224/41,0,,,41,41-TET perfect fifth
210,703.45,217/29,0,,,29,29-TET perfect fifth
211,719.9,97 / 64,97,,,,Ninety-seventh harmonic[5]
212,720,23/5 / 1,0,,,5,3 steps in 5 equal temperament
213,721.51,1024 / 675,5,,,,Narrow diminished sixth[3]
214,725,229/48,0,,,48,29 steps in 48 equal temperament
215,729.22,32 / 21,7,,,,21st subharmonic[5][6]
216,733.23,391 / 256,23,,,, Three-hundred-ninety-first harmonic
217,737.65,49 / 32,7,,,,Forty-ninth harmonic[5]
218,743.01,192 / 125,5,,,,Classic diminished sixth[3]
219,750,215/24,0,,,24,15 steps in 48 equal temperament
220,755.23,99 / 64,11,,,,Ninety-ninth harmonic[5]
221,764.92,14 / 9,7,,,,Septimal minor sixth[3][5]
222,772.63,25 / 16,0,,,,Just augmented fifth[5][15]
223,775,231/48,0,,,48,31 steps in 48 equal temperament
224,781.79,? / 2,0,,,, Wallis product
225,782.49,11 / 7,11,,,,"Undecimal minor sixth,[5] undecimal augmented fifth,[3] Fibonacci numbers"
226,789.85,101 / 64,101,,,,Hundred-first harmonic[5]
227,792.18,128 / 81,3,,,,"Pythagorean minor sixth,[3][5][6] 81st subharmonic"
228,798.4,203 / 128,29,,,, Two-hundred-third harmonic
229,800,28/12,0,Meantone,,"3, 12", Equal-tempered minor sixth
230,806.91,51 / 32,17,,,,Fifty-first harmonic[5]
231,813.69,8 / 5,5,,,,Just minor sixth[3][4][10][15]
232,815.64,6561 / 4096,3,,,,"Pythagorean augmented fifth,[3][6]Pythagorean 'schismatic' sixth[5]"
233,823.8,103 / 64,103,,,,Hundred-third harmonic[5]
234,825,211/16,0,,,"16, 48",33 steps in 48 equal temperament
235,832.18,207 / 128,23,,,, Two-hundred-seventh harmonic
236,833.09,51/2+1 / 2,0,,,,Golden ratio (833 cents scale)
237,833.11,233 / 144,233,,,,Golden ratio approximation (833 cents scale)
238,835.19,81 / 50,5,,,,Acute minor sixth[3]
239,840.53,13 / 8,13,,,,"Tridecimal neutral sixth,[3] overtone sixth,[5]thirteenth harmonic"
240,848.83,209 / 128,19,,,, Two-hundred-ninth harmonic
241,850,217/24,0,,,24, Equal-tempered neutral sixth
242,852.59,18 / 11,11,,,,"Undecimal neutral sixth,[3][5] Zalzal's neutral sixth"
243,857.09,105 / 64,7,,,,Hundred-fifth harmonic[5]
244,857.14,25/7,0,,,7,5 steps in 7 equal temperament
245,862.85,400 / 243,5,,,,Grave major sixth[3]
246,873.5,53 / 32,53,,,,Fifty-third harmonic[5]
247,875,235/48,0,,,48,35 steps in 48 equal temperament
